city,city_ascii,state_id,lat,lng
Cool,Cool,TX,32.8001,-98.0113
Morrison,Morrison,IA,42.343,-92.6733
Merrifield,Merrifield,MN,46.4673,-94.1746
Providence,Providence,AL,32.3424,-87.7761
Mettler,Mettler,CA,35.0635,-118.9729
Thurston,Thurston,NE,42.1747,-96.7016
Weldona,Weldona,CO,40.3484,-103.9693
Falkland,Falkland,NC,35.6986,-77.5129
Ridgely,Ridgely,MO,39.4536,-94.6403
Kimmswick,Kimmswick,MO,38.3655,-90.3645
Herron Island,Herron Island,WA,47.2645,-122.8348
De Smet,De Smet,ID,47.141,-116.9113
Ormsby,Ormsby,MN,43.8503,-94.6986
Beaman,Beaman,IA,42.2203,-92.8221
Baileyville,Baileyville,KS,39.8485,-96.1903
New Cambria,New Cambria,KS,38.879,-97.5066
Samak,Samak,UT,40.6389,-111.2413
Toad Hop,Toad Hop,IN,39.4568,-87.464
Castine,Castine,OH,39.9315,-84.6243
Goodwin,Goodwin,AR,34.9407,-91.0036
Bearcreek,Bearcreek,MT,45.1606,-109.1575
Gravois Mills,Gravois Mills,MO,38.3049,-92.8244
Manderson,Manderson,WY,44.2698,-107.964
Alton,Alton,KS,39.4678,-98.9486
Chula Vista,Chula Vista,TX,26.0739,-97.4397
Oyens,Oyens,IA,42.8198,-96.058
Andover,Andover,IA,41.9801,-90.2528
Pontiac,Pontiac,MO,36.5165,-92.6037
Lake Santeetlah,Lake Santeetlah,NC,35.3636,-83.8664
Rowena,Rowena,OR,45.6701,-121.2749
Richards,Richards,TX,30.5366,-95.8462
Fruitdale,Fruitdale,AL,31.3429,-88.4108
Aleknagik,Aleknagik,AK,59.2946,-158.6896
Milton Mills,Milton Mills,NH,43.5037,-70.9654
Normandy,Normandy,TN,35.4523,-86.2582
Pecktonville,Pecktonville,MD,39.666,-78.0482
Strathmere,Strathmere,NJ,39.1944,-74.6618
Gilson,Gilson,IL,40.8629,-90.1992
Joes,Joes,CO,39.6559,-102.6786
Hissop,Hissop,AL,32.8815,-86.1285
Tullahassee,Tullahassee,OK,35.8406,-95.4383
Sunbury,Sunbury,NC,36.4469,-76.6127
Pence,Pence,WI,46.4104,-90.2695
Century,Century,WV,39.1003,-80.1883
Fernwood,Fernwood,MS,31.1847,-90.4531
Greenvale,Greenvale,TN,36.0055,-86.2012
Sombrillo,Sombrillo,NM,35.9802,-106.0352
Wingate,Wingate,TX,32.0455,-100.104
Burr Oak,Burr Oak,KS,39.87,-98.3055
Ali Chuk,Ali Chuk,AZ,31.8169,-112.5584
Cassandra,Cassandra,PA,40.4085,-78.6407
Ohiowa,Ohiowa,NE,40.4136,-97.4524
Dexter City,Dexter City,OH,39.6593,-81.4739
Homestown,Homestown,MO,36.3318,-89.8242
Valley Park,Valley Park,MS,32.6371,-90.8619
Turin,Turin,IA,42.0208,-95.9662
Bunker Hill,Bunker Hill,KS,38.8753,-98.6989
Waka,Waka,TX,36.2816,-101.0441
Glen Ferris,Glen Ferris,WV,38.1519,-81.2185
Coates,Coates,MN,44.7151,-93.0321
Swaledale,Swaledale,IA,42.9765,-93.3155
Broadwell,Broadwell,IL,40.0668,-89.4429
Naukati Bay,Naukati Bay,AK,55.8801,-133.1992
Hindsville,Hindsville,AR,36.1458,-93.8627
Hamorton,Hamorton,PA,39.8679,-75.6517
La Cueva,La Cueva,NM,35.8694,-106.6485
Angelica,Angelica,WI,44.675,-88.3216
Lucerne,Lucerne,IN,40.8664,-86.4033
Dorseyville,Dorseyville,LA,30.1773,-91.1614
Conroy,Conroy,IA,41.7266,-91.9985
Marion,Marion,ND,46.6091,-98.3375
Casa,Casa,AR,35.0253,-93.0448
Urbana,Urbana,AR,33.1585,-92.4453
Osco,Osco,IL,41.3465,-90.2827
Tustin,Tustin,WI,44.1698,-88.896
Dodson,Dodson,MT,48.3953,-108.2472
Rudy,Rudy,AR,35.5304,-94.2406
Armstrong,Armstrong,OK,34.0528,-96.3448
Cleveland,Cleveland,ND,46.891,-99.1195
East Fairview,East Fairview,ND,47.8554,-104.0375
Ayr,Ayr,NE,40.4377,-98.4409
Davis,Davis,SD,43.2595,-96.9945
Templeton,Templeton,VA,37.0811,-77.3563
Oketo,Oketo,KS,39.9632,-96.5989
Lawtonka Acres,Lawtonka Acres,OK,34.7789,-98.5305
Bristol,Bristol,GA,31.4507,-82.2148
Couderay,Couderay,WI,45.7976,-91.3005
Hickory Hill,Hickory Hill,KY,38.2877,-85.5679
Tennessee,Tennessee,IL,40.4114,-90.8363
Ball Club,Ball Club,MN,47.3311,-93.946
Horntown,Horntown,OK,35.0869,-96.2476
Martell,Martell,NE,40.6389,-96.7589
Dacoma,Dacoma,OK,36.6596,-98.5635
Verona,Verona,ND,46.3626,-98.0771
Rubicon,Rubicon,WI,43.3371,-88.4525
Grasston,Grasston,MN,45.7958,-93.1526
Wildrose,Wildrose,ND,48.6299,-103.1837
Greenville,Greenville,OK,34.0061,-97.124
Dawson,Dawson,IA,41.8431,-94.2203
Atqasuk,Atqasuk,AK,70.481,-157.3835
Perley,Perley,MN,47.1761,-96.8015
Lynndyl,Lynndyl,UT,39.5085,-112.3933
Lawson,Lawson,AR,33.1999,-92.4878
Mays,Mays,IN,39.7437,-85.43
Vincent,Vincent,IA,42.5917,-94.0198
Bayfront,Bayfront,WI,46.6235,-90.7898
Christopher Creek,Christopher Creek,AZ,34.3206,-111.0071
Owl Ranch,Owl Ranch,TX,27.8927,-98.0934
Goodnews Bay,Goodnews Bay,AK,59.1271,-161.5753
Lamy,Lamy,NM,35.4854,-105.8863
Bessemer Bend,Bessemer Bend,WY,42.7561,-106.5176
Oxbow,Oxbow,NY,44.2893,-75.6262
Belden,Belden,NE,42.4116,-97.2077
Montezuma,Montezuma,CO,39.5814,-105.8678
Rhineland,Rhineland,MO,38.7205,-91.5175
Walnut Hill,Walnut Hill,IL,38.4777,-89.0447
Chest Springs,Chest Springs,PA,40.5781,-78.6107
Lincoln,Lincoln,IA,42.2627,-92.6923
Guys Mills,Guys Mills,PA,41.6308,-79.976
Blandville,Blandville,KY,36.9441,-88.9646
Appleton,Appleton,AR,35.4185,-92.8724
Huntington Center,Huntington Center,VT,44.2906,-72.9672
Fort Seneca,Fort Seneca,OH,41.2044,-83.1679
New Centerville,New Centerville,PA,39.9422,-79.1916
Falcon Mesa,Falcon Mesa,TX,26.8706,-99.2907
Wainwright,Wainwright,OK,35.6134,-95.566
Matoaka,Matoaka,WV,37.4182,-81.2417
Birmingham,Birmingham,OH,41.3302,-82.3617
Dutch Neck,Dutch Neck,NJ,39.4017,-75.2787
Moccasin,Moccasin,AZ,36.9099,-112.7546
Portland,Portland,CO,38.0892,-107.6952
Grand Cane,Grand Cane,LA,32.0836,-93.8088
Angostura,Angostura,SD,43.3192,-103.386
Edenborn,Edenborn,PA,39.8821,-79.8877
Hard Rock,Hard Rock,AZ,36.0309,-110.5048
Kingston,Kingston,IL,39.8198,-91.0274
El Monte Mobile Village,El Monte Mobile Village,CA,36.5471,-119.4251
Proctor,Proctor,TX,31.9867,-98.4304
Tarrytown,Tarrytown,GA,32.3187,-82.5595
Greensburg,Greensburg,MD,39.6806,-77.5615
Benton City,Benton City,MO,39.1346,-91.7648
Cantwell,Cantwell,AK,63.379,-148.8158
Chewalla,Chewalla,TN,35.0209,-88.6426
Linwood,Linwood,NE,41.4123,-96.9323
Diehlstadt,Diehlstadt,MO,36.9593,-89.4324
Kettle River,Kettle River,MN,46.4862,-92.8776
Gann,Gann,OH,40.4692,-82.1913
Forest River,Forest River,ND,48.2166,-97.4703
Justice Addition,Justice Addition,WV,37.8916,-81.9928
Loma Vista,Loma Vista,TX,26.4169,-98.9814
Lake Gogebic,Lake Gogebic,MI,46.5719,-89.6212
Jeffers Gardens,Jeffers Gardens,OR,46.1518,-123.852
Greenfield,Greenfield,OK,35.729,-98.3775
Herndon,Herndon,KS,39.9092,-100.7865
Washington,Washington,CA,39.3591,-120.7905
Moorefield,Moorefield,AR,35.7672,-91.5708
Fairview,Fairview,KY,36.8426,-87.3055
Kettlersville,Kettlersville,OH,40.4389,-84.2598
Carbon Hill,Carbon Hill,OH,39.5021,-82.2426
Hartland,Hartland,IL,42.3631,-88.5086
Linn Grove,Linn Grove,IN,40.645,-85.033
Mazie,Mazie,OK,36.1425,-95.3303
Union Mills,Union Mills,IN,41.4931,-86.7775
Rabbit Hash,Rabbit Hash,KY,38.924,-84.8502
Bear Lake,Bear Lake,IN,41.3241,-85.5151
Skykomish,Skykomish,WA,47.7104,-121.3584
Packwood,Packwood,WA,46.6085,-121.6703
Downsville,Downsville,LA,32.6264,-92.4129
Spaulding,Spaulding,OK,35.0132,-96.4404
Manor,Manor,GA,31.1044,-82.5665
Parkdale,Parkdale,AR,33.1212,-91.5464
Laredo,Laredo,MO,40.026,-93.448
Spragueville,Spragueville,IA,42.0716,-90.4327
Mapleview,Mapleview,MN,43.6901,-92.974
Shepardsville,Shepardsville,IN,39.6018,-87.4265
Green Spring,Green Spring,WV,39.5242,-78.6301
Edgerton,Edgerton,WY,43.4134,-106.2474
Keomah Village,Keomah Village,IA,41.2885,-92.5368
Dupuyer,Dupuyer,MT,48.1868,-112.4771
Timberon,Timberon,NM,32.636,-105.6925
Oak Hills,Oak Hills,IA,40.7586,-91.1463
Porcupine,Porcupine,ND,46.2218,-101.0999
Ithaca,Ithaca,OH,39.9378,-84.5533
Kilgore,Kilgore,NE,42.9391,-100.9573
Wyeville,Wyeville,WI,44.0279,-90.3861
Beaver Marsh,Beaver Marsh,OR,43.1364,-121.8042
Vernonburg,Vernonburg,GA,31.9637,-81.1259
Eagle Lake,Eagle Lake,IL,41.3702,-87.5552
Delacroix,Delacroix,LA,29.7652,-89.7874
Lower Salem,Lower Salem,OH,39.5635,-81.3942
Chatham,Chatham,MI,46.3441,-86.9313
Briartown,Briartown,OK,35.2974,-95.2386
Urbana,Urbana,IN,40.8984,-85.7928
Portlandville,Portlandville,NY,42.5294,-74.9674
Driftwood,Driftwood,TX,30.133,-98.0373
Baileyville,Baileyville,PA,40.711,-77.9924
Whaleyville,Whaleyville,MD,38.3917,-75.3004
Oasis,Oasis,NM,32.9277,-107.3164
Lyndon,Lyndon,VT,44.5154,-72.0134
Hickory,Hickory,KY,36.8174,-88.6485
Nile,Nile,WA,46.8349,-120.9438
Anegam,Anegam,AZ,32.3742,-112.035
Unionville,Unionville,IA,40.8182,-92.6959
Exeter,Exeter,IL,39.7191,-90.4961
Austwell,Austwell,TX,28.3911,-96.8435
Fort Smith,Fort Smith,MT,45.3134,-107.9296
Prestonville,Prestonville,KY,38.6805,-85.1931
Lankin,Lankin,ND,48.3147,-97.9203
Rock House,Rock House,AZ,33.6318,-110.9456
Montrose,Montrose,MS,32.1257,-89.2344
Isabel,Isabel,KS,37.4672,-98.5515
Williams,Williams,IN,38.8151,-86.6444
New Haven,New Haven,OH,39.2772,-84.744
El Quiote,El Quiote,TX,26.3845,-98.9084
Jamestown,Jamestown,LA,32.3397,-93.2065
Cascadia,Cascadia,OR,44.393,-122.5027
East Alliance,East Alliance,OH,40.9092,-81.0742
Siasconset,Siasconset,MA,41.2636,-69.9718
Rutherford,Rutherford,CA,38.4568,-122.4231
Gough,Gough,GA,33.088,-82.2286
Colon,Colon,NE,41.2981,-96.6069
Fence Lake,Fence Lake,NM,34.6534,-108.6738
Hutchinson,Hutchinson,NJ,40.78,-75.1204
Kokhanok,Kokhanok,AK,59.4158,-154.7457
Dayton,Dayton,MT,47.8643,-114.2765
Broadwater,Broadwater,NE,41.598,-102.8525
Knife River,Knife River,MN,46.9495,-91.7837
Lone Rock,Lone Rock,IA,43.2209,-94.3253
Magness,Magness,AR,35.7031,-91.4822
Cheshire,Cheshire,OH,38.9502,-82.113
Alpha,Alpha,MN,43.6377,-94.8712
Farner,Farner,TN,35.1543,-84.3191
Miesville,Miesville,MN,44.599,-92.8196
Solway,Solway,MN,47.5211,-95.1303
Portis,Portis,KS,39.5638,-98.6916
Edmonson,Edmonson,TX,34.2791,-101.8967
Elizaville,Elizaville,KY,38.4167,-83.8243
Sedan,Sedan,MT,45.9653,-110.8888
Hoehne,Hoehne,CO,37.2815,-104.389
Parkman,Parkman,OH,41.3722,-81.059
Ryder,Ryder,ND,47.9211,-101.6694
Lucien,Lucien,OK,36.2747,-97.4551
Curdsville,Curdsville,KY,37.7353,-87.3327
Shongaloo,Shongaloo,LA,32.9416,-93.2955
Galt,Galt,IL,41.7894,-89.7541
Newald,Newald,WI,45.7396,-88.7004
Queets,Queets,WA,47.5314,-124.3385
Yuma,Yuma,TN,35.8438,-88.3372
Silver Gate,Silver Gate,MT,45.0198,-109.9829
Albany,Albany,OK,33.8769,-96.16
Little Sturgeon,Little Sturgeon,WI,44.8422,-87.5744
Plevna,Plevna,KS,37.9717,-98.3095
Sawyer,Sawyer,KS,37.4985,-98.683
Holters Crossing,Holters Crossing,PA,40.9721,-77.7242
Pulaski,Pulaski,OH,41.5108,-84.5079
Sweet Water Village,Sweet Water Village,AZ,33.1274,-111.8424
White Lake,White Lake,NY,43.5408,-75.1473
Woodlawn Heights,Woodlawn Heights,IN,40.1184,-85.6968
Ginger Blue,Ginger Blue,MO,36.5899,-94.4596
Barnes City,Barnes City,IA,41.507,-92.4695
Griffin,Griffin,IN,38.2043,-87.915
Rockville,Rockville,SC,32.6024,-80.1935
Acme,Acme,WA,48.7158,-122.2077
Epping,Epping,ND,48.2817,-103.3579
Colcord,Colcord,WV,37.9451,-81.4374
Cogswell,Cogswell,ND,46.107,-97.7842
Foxhome,Foxhome,MN,46.2769,-96.3122
Utica,Utica,KS,38.6427,-100.1698
Moyers,Moyers,OK,34.3255,-95.6503
Zemple,Zemple,MN,47.3207,-93.7859
Gem,Gem,KS,39.426,-100.8973
Brooks,Brooks,MN,47.8165,-96.0036
Haynes,Haynes,AR,34.8909,-90.7926
Hannasville,Hannasville,PA,41.4716,-79.9311
Brooklyn Heights,Brooklyn Heights,MO,37.1694,-94.3856
Oakley,Oakley,WY,41.751,-110.5261
Bellamy,Bellamy,AL,32.4582,-88.1277
Media,Media,IL,40.7694,-90.8327
Minto,Minto,AK,65.1033,-149.5565
Maxville,Maxville,MT,46.476,-113.2355
Blacktail,Blacktail,ND,48.4327,-103.74
Mount Hebron,Mount Hebron,CA,41.7857,-122.008
Centerville,Centerville,WA,45.754,-120.908
Bridgeville,Bridgeville,NY,41.6319,-74.6268
Jacksonburg,Jacksonburg,WV,39.5304,-80.6404
Spencer,Spencer,SD,43.7273,-97.5911
New Buffalo,New Buffalo,PA,40.4542,-76.9703
Pisek,Pisek,ND,48.3107,-97.7104
Blawenburg,Blawenburg,NJ,40.4056,-74.6971
Reliance,Reliance,SD,43.88,-99.6018
Millerville,Millerville,MN,46.0691,-95.5569
Covel,Covel,WV,37.4907,-81.3195
Yoder,Yoder,WY,41.917,-104.2955
Radley,Radley,KS,37.4851,-94.7617
Tingley,Tingley,IA,40.8527,-94.1958
Glencoe,Glencoe,OH,40.0106,-80.8815
Nardin,Nardin,OK,36.8041,-97.4499
Sand Fork,Sand Fork,WV,38.9154,-80.7477
Loyal,Loyal,OK,35.9727,-98.1182
Edmond,Edmond,KS,39.6272,-99.8199
Adams,Adams,ND,48.4202,-98.0737
Concord,Concord,AR,35.6623,-91.8507
Douds,Douds,IA,40.8438,-92.0764
Loma Mar,Loma Mar,CA,37.2658,-122.3007
Mount Moriah,Mount Moriah,MO,40.3293,-93.7971
Tierra Verde,Tierra Verde,TX,27.7616,-97.7174
Lawrence Creek,Lawrence Creek,OK,36.0838,-96.4267
Olean,Olean,MO,38.4103,-92.53
Alden,Alden,MI,44.8792,-85.2729
Bridgewater,Bridgewater,IA,41.2471,-94.6689
Webster,Webster,PA,40.1878,-79.8489
Sylvanite,Sylvanite,MT,48.7063,-115.8741
Needmore,Needmore,PA,39.8474,-78.1432
Lena,Lena,MS,32.5939,-89.5948
Albert,Albert,KS,38.454,-99.0111
Round Top,Round Top,TX,30.0639,-96.6957
Elk Creek,Elk Creek,NE,40.2883,-96.1269
Hepler,Hepler,KS,37.6637,-94.9697
Vilas,Vilas,CO,37.3737,-102.4474
McFarlan,McFarlan,NC,34.8148,-79.9766
Sarita,Sarita,TX,27.2235,-97.7955
Grass Range,Grass Range,MT,47.0261,-108.8031
East Springfield,East Springfield,OH,40.4474,-80.8599
Libertyville,Libertyville,AL,31.2428,-86.46
Bergland,Bergland,MI,46.5913,-89.5754
Otisco,Otisco,IN,38.5423,-85.6672
Liverpool,Liverpool,IL,40.3901,-90.0023
St. Helena,St. Helena,NE,42.8106,-97.2489
Priddy,Priddy,TX,31.676,-98.5114
Donegal,Donegal,PA,40.112,-79.3808
Bronaugh,Bronaugh,MO,37.694,-94.4683
Narcissa,Narcissa,OK,36.801,-94.9279
Scotia,Scotia,SC,32.6805,-81.2433
Burton,Burton,IL,39.9079,-91.2492
Anselmo,Anselmo,NE,41.6186,-99.8645
Glenham,Glenham,SD,45.533,-100.2711
Brussels,Brussels,IL,38.9483,-90.5887
Longstreet,Longstreet,LA,32.0976,-93.9505
Ocosta,Ocosta,WA,46.8913,-124.0236
Freeburn,Freeburn,KY,37.5619,-82.1514
Barrytown,Barrytown,NY,42.0001,-73.9259
Itmann,Itmann,WV,37.5734,-81.4146
Marathon,Marathon,OH,39.1453,-84.0063
Bluff Dale,Bluff Dale,TX,32.3497,-98.0249
Hanover,Hanover,VA,37.7668,-77.3707
McGregor,McGregor,ND,48.5957,-102.9281
Ponca,Ponca,AR,36.0287,-93.364
Bartow,Bartow,WV,38.5422,-79.7859
Farmington,Farmington,CA,37.9299,-121.0044
Othello,Othello,NJ,39.4114,-75.3426
Cordova,Cordova,NE,40.7164,-97.3516
Revillo,Revillo,SD,45.0154,-96.5712
Sharon,Sharon,KS,37.2498,-98.4177
Riddleville,Riddleville,GA,32.9069,-82.6661
East Burke,East Burke,VT,44.5875,-71.9403
Derby,Derby,IA,40.9303,-93.4565
Van Wert,Van Wert,IA,40.8709,-93.792
Harding,Harding,IL,41.5179,-88.8487
Valentine,Valentine,TX,30.5886,-104.4953
Gould,Gould,OK,34.6692,-99.7736
Dukedom,Dukedom,TN,36.4949,-88.7163
West Millgrove,West Millgrove,OH,41.2428,-83.4915
Stanley,Stanley,LA,31.9608,-93.8995
Pollard,Pollard,AL,31.0235,-87.1736
Marietta,Marietta,NC,34.3683,-79.1249
Martinsburg,Martinsburg,IA,41.1788,-92.2519
Pensacola,Pensacola,OK,36.4593,-95.1277
Bloomington,Bloomington,NE,40.0938,-99.0384
Schubert,Schubert,PA,40.4979,-76.2197
Sunland Estates,Sunland Estates,WA,47.074,-120.0284
Oxbow Estates,Oxbow Estates,AZ,34.1824,-111.343
Okreek,Okreek,SD,43.3533,-100.3826
Wintersburg,Wintersburg,AZ,33.4187,-112.8666
Benjamin Perez,Benjamin Perez,TX,26.406,-98.8997
Mount Vision,Mount Vision,NY,42.583,-75.0518
Oldham,Oldham,SD,44.2281,-97.3096
Heltonville,Heltonville,IN,38.9278,-86.3755
Copper Hill,Copper Hill,AZ,33.4379,-110.7516
Morea,Morea,PA,40.7892,-76.1729
Beaver Dam,Beaver Dam,IN,41.0937,-85.9757
Hiseville,Hiseville,KY,37.1008,-85.8149
Kansas,Kansas,AL,33.9029,-87.5568
Dekorra,Dekorra,WI,43.4539,-89.4603
Mill Spring,Mill Spring,MO,37.0651,-90.6779
Meriden,Meriden,IA,42.7946,-95.6341
Winslow,Winslow,NE,41.6102,-96.5047
Blountsville,Blountsville,IN,40.0598,-85.2384
Bairdstown,Bairdstown,OH,41.1712,-83.6073
Robbins,Robbins,TN,36.3536,-84.5839
Mercer,Mercer,ND,47.4905,-100.7104
Hastings,Hastings,OK,34.2243,-98.1088
Animas,Animas,NM,31.9449,-108.8065
Venetie,Venetie,AK,67.0206,-146.3741
La Rose,La Rose,IL,40.9786,-89.2349
Galloway,Galloway,WV,39.2339,-80.1277
Taylors Island,Taylors Island,MD,38.4734,-76.3128
